Hostname,Reverse Hostname,gWMS GRAM,gWMS HTC,BDII GRAM,BDII HTC,CE-Collector,Gratia,Assigned to Contact,Notes from Contact
atlt3gm.physics.arizona.edu,edu.arizona.physics.atlt3gm,,,,,2016-03-09,,,
ce03.cmsaf.mit.edu,edu.mit.cmsaf.ce03,,2016-04-10,,2016-03-10,2016-03-09,,,
grid0.oscer.ou.edu,edu.ou.oscer.grid0,,,,,2016-03-09,,,
rocks-ce.hep.uprm.edu,edu.uprm.hep.rocks-ce,,,,,2016-03-09,,,
ce04.cmsaf.mit.edu,edu.mit.cmsaf.ce04,,,,2016-03-10,,,,
itbv-ce-htcondor.mwt2.org,org.mwt2.itbv-ce-htcondor,,,,2016-03-10,,,,
osg-ce.icecube.wisc.edu,edu.wisc.icecube.osg-ce,,,,2016-03-10,,,,
osg-ss-ce.chtc.wisc.edu,edu.wisc.chtc.osg-ss-ce,,,2016-03-10,,,,,
deepthought.crc.nd.edu,edu.nd.crc.deepthought,,2016-04-10,,,
,,,,,,,,,
=COUNTA(A$2:A$149),=COUNTA(B$2:B$149),=COUNTA(C$2:C$149),=COUNTA(D$2:D$149),=COUNTA(E$2:E$149),=COUNTA(F$2:F$149),=COUNTA(G$2:G$149),,,
